num_vehicles,num_constructions,seed,n_arrived,n_total,arrival_rate,mean_travel_time,median_travel_time,stdev_travel_time,mean_avg_speed,median_avg_speed,stdev_avg_speed,mean_num_replans,max_num_replans,pct_vehicles_rerouted,mean_detour_ratio,vehicles_with_detours
100,0,1,100,100,1.0,90.06,85.5,48.479261420516586,13.566985988644392,13.645005228353842,0.23521530945225463,0,0,0.0,0.9999999999999104,0
100,0,2,100,100,1.0,79.5,80.0,45.829834577202405,13.486153614707243,13.640044679171298,0.6001079968782514,0,0,0.0,1.000000000000026,0
100,5,0,100,100,1.0,94.39,96.0,48.49469303465331,13.402211573426095,13.573839095647042,0.7336172823818211,0,0,0.0,1.014292537570818,7
100,5,1,100,100,1.0,90.22,85.5,48.4393987734711,13.563248406221367,13.645005228337162,0.25477070883846953,0,0,0.0,1.003091770886315,1
100,5,2,100,100,1.0,79.42,80.0,45.76845104557408,13.50221157631233,13.654686012115148,0.582262211459598,0,0,0.0,1.000156156815922,0
100,10,0,100,100,1.0,94.55,95.5,48.62334622359714,13.406493207637066,13.573910498390564,0.735692443621677,0,0,0.0,1.0165240489261531,7
100,10,1,100,100,1.0,90.69,87.0,48.33212015196352,13.575616605293819,13.657422389568765,0.2454235280799336,0,0,0.0,1.011543115489564,5
100,10,2,100,100,1.0,79.85,80.0,46.236190949680896,13.494725249655092,13.656519133138179,0.6001631485103431,0,0,0.0,1.0033501175442783,0
100,20,0,100,100,1.0,95.79,98.0,48.79627718040247,13.414728124668754,13.595308462140263,0.7404050984673661,0,0,0.0,1.0349176940535472,9
100,20,1,100,100,1.0,91.28,88.0,48.726837025038336,13.588930314420042,13.679006469696255,0.2430541459814635,0,0,0.0,1.0175624380399002,4
100,20,2,100,100,1.0,80.46,81.0,46.150701757690236,13.497587800951798,13.64685668367942,0.5992643672791177,0,0,0.0,1.0138996790830295,4
100,40,0,100,100,1.0,99.14,101.0,50.5756798663092,13.388801192030344,13.568315643712832,0.7549720788126221,0,0,0.0,1.0686776821063528,20
100,40,1,100,100,1.0,102.45,102.0,53.41591617682974,13.593394582164194,13.641239105712813,0.21606087134022112,0,0,0.0,1.2036876617953278,26
100,40,2,100,100,1.0,83.1,83.0,47.583525712077275,13.455224825591676,13.626797777179066,0.6070968417776057,0,0,0.0,1.0425844845856067,17
