u,v,key,osmid,highway,lanes,maxspeed,oneway,reversed,length,geometry,ref,tunnel,bridge,name,width,junction,access
25581709,377704,0,87843070,residential,,50,True,False,66.83740725841085,"LINESTRING (11.9718234 57.7070116, 11.9718624 57.7069507, 11.9720889 57.7065119, 11.9721143 57.7064315)",,,,Östra Larmgatan,,,
25581714,2395027728,0,13862705,residential,,50,True,False,7.3428483240143265,"LINESTRING (11.9794281 57.6973776, 11.9793487 57.6974282)",,,,Kungsportsavenyen,,,
25581714,2395027738,0,166881456,tertiary,,50,True,False,47.17890147867759,"LINESTRING (11.9794281 57.6973776, 11.9795742 57.6974386, 11.9796402 57.6974681, 11.97979233524973 57.697552321470575)",,,,Berzeliigatan,,,
25581718,377706,0,16121511,living_street,,,False,False,62.98368701913859,"LINESTRING (11.9701074 57.7045358, 11.9708611 57.7048816, 11.970909 57.7049064)",,,,Östra Larmgatan,,,
25587528,25587538,0,"[300184721, 300184722]",secondary,3,50,True,False,359.3962926165778,"LINESTRING (11.9773612 57.7050636, 11.9768478 57.7045066, 11.9767954 57.7044747, 11.97561 57.7039566, 11.9737419 57.7031179, 11.9733591 57.7029533, 11.9732954 57.7029265, 11.9732302 57.7028986, 11.9730896 57.7028383)",,,,Nya Allén,,,
25587528,25708673,0,"[1364685360, 4273540, 1364685359]",residential,4,50,False,False,99.50371071787085,"LINESTRING (11.9773612 57.7050636, 11.9774991 57.7050327, 11.9775744 57.7050047, 11.9776204 57.704976, 11.9783193 57.704539, 11.9783625 57.704512, 11.978501 57.7044203)",,,,Sten Sturegatan,,,
25587532,25587528,0,4264301,secondary,3,50,True,False,248.26772155707636,"LINESTRING (11.9777561 57.707246, 11.9777799 57.7070411, 11.9777807 57.7070009, 11.9778108 57.7057163, 11.9777965 57.7056031, 11.9777852 57.7055693, 11.9777681 57.7055332, 11.9775173 57.7052403, 11.9774701 57.7051852, 11.9773612 57.7050636)",,,,Nya Allén,,,
25587532,1375971945,0,"[997282420, 997282421]",secondary,"['2', '3']",50,True,False,30.332113475102837,"LINESTRING (11.9777561 57.707246, 11.9778089 57.7071999, 11.9778608 57.7071722, 11.9779224 57.7071512, 11.9779907 57.7071339, 11.9781781 57.7071329)",,,,Ullevigatan,,,
25587536,25708673,0,"[940788549, 218971792, 198806772, 166854422, 295995802]",secondary,"['2', '3']",50,True,False,354.1499597965546,"LINESTRING (11.9738215 57.7024548, 11.9740221 57.7025339, 11.9741893 57.7025924, 11.9742642 57.7026205, 11.9746117 57.7027652, 11.9748289 57.7028556, 11.9748648 57.7028706, 11.9752458 57.7030293, 11.9753086 57.7030554, 11.9753599 57.7030768, 11.9758092 57.7032639, 11.9761923 57.7034234, 11.976393 57.703507, 11.9765141 57.7035575, 11.9767615 57.7036605, 11.9769181 57.7037257, 11.9775282 57.7039798, 11.9781017 57.7042186, 11.9782929 57.7042983, 11.9783546 57.704324, 11.9784235 57.7043571, 11.978501 57.7044203)",,,,Parkgatan,,,
25587536,25587538,0,"[29123163, 1023578420, 1023578421]",tertiary,5,50,False,True,60.91014567841839,"LINESTRING (11.9738215 57.7024548, 11.9736269 57.7025581, 11.9735454 57.7026014, 11.9734674 57.7026428, 11.9733369 57.702712, 11.9732605 57.7027526, 11.9732158 57.7027761, 11.9730896 57.7028383)",,,,Södra Vägen,,,
