num_vehicles,num_constructions,seed,n_arrived,n_total,arrival_rate,mean_travel_time,median_travel_time,stdev_travel_time,mean_avg_speed,median_avg_speed,stdev_avg_speed,mean_num_replans,max_num_replans,pct_vehicles_rerouted,mean_detour_ratio,vehicles_with_detours
200,5,1,200,200,1.0,89.365,86.0,52.0866284116805,13.38095970263983,13.50149082707556,0.4667564614414016,0,0,0.0,1.0082402589555501,3
200,5,2,200,200,1.0,90.45,90.5,46.15799282364364,13.366543365247217,13.490034099272009,0.5087823525471037,0,0,0.0,1.002769736592171,2
200,10,0,200,200,1.0,96.13,95.5,50.72353977629308,13.314381150636532,13.450279514832003,0.5871008105059221,0,0,0.0,1.0113258146995523,4
200,10,1,200,200,1.0,89.68,86.0,51.5946473792675,13.387063319079683,13.499632235638975,0.42540802675676415,0,0,0.0,1.0217723672134016,8
200,10,2,200,200,1.0,90.575,90.5,46.18995491092589,13.369090227479496,13.463076501845494,0.49887093696975293,0,0,0.0,1.004667276244605,4
500,0,0,500,500,1.0,96.858,94.5,50.46804814699628,12.91033836135546,12.9943853714313,0.601750565101189,0,0,0.0,1.000000000000318,0
500,0,1,500,500,1.0,92.14,87.5,52.11049229103125,12.946602048774588,13.019337297829729,0.525417786312622,0,0,0.0,0.9999999999998975,0
500,0,2,500,500,1.0,91.952,91.0,47.50379898319366,12.955684587358546,13.024644893235656,0.594622834765954,0,0,0.0,1.0000000000000375,0
500,5,0,500,500,1.0,98.084,96.5,51.017236900109005,12.892497265257603,12.977518340538474,0.6218047728644439,0,0,0.0,1.0105191782368963,23
500,5,1,500,500,1.0,92.696,88.0,52.41524874119365,12.94234758879522,13.01834705392616,0.5405984074650172,0,0,0.0,1.0054138330658993,3
500,5,2,500,500,1.0,91.964,91.0,47.49490747935978,12.950916067627984,13.035212974561604,0.6242575243692763,0,0,0.0,0.9999999999999963,0
500,10,0,500,500,1.0,98.67,97.0,51.50626068527552,12.914876880778303,13.022238273971132,0.630918561115747,0,0,0.0,1.0181708101391695,29
500,10,1,500,500,1.0,93.098,88.0,52.82269275358346,12.939467540034112,12.993517646799678,0.5551162041373287,0,0,0.0,1.0090801694263525,6
500,10,2,500,500,1.0,92.278,90.5,47.453180342831594,12.937184927269715,13.0359290258641,0.6233605478102994,0,0,0.0,1.0039117641880344,7
