num_vehicles,num_constructions,seed,n_arrived,n_total,arrival_rate,mean_travel_time,median_travel_time,stdev_travel_time,mean_avg_speed,median_avg_speed,stdev_avg_speed
100,500,1,100,100,1.0,92.75,89.5,49.00471529569498,13.577266702557086,13.664455346723301,0.24375718799604504
100,500,2,100,100,1.0,86.24,86.5,49.94989813034981,13.523695790240346,13.67640331172661,0.6026011091513386
200,0,0,200,200,1.0,94.615,94.5,48.88779867509359,13.307948667849184,13.451623367827697,0.5976264773027108
200,0,1,200,200,1.0,88.745,85.5,51.86133400544302,13.364745448460642,13.491329829570855,0.4486493589928255
200,0,2,200,200,1.0,90.31,90.0,46.32552396740129,13.367248712215703,13.440438936924393,0.5013825690500805
200,5,0,200,200,1.0,96.18,96.5,50.447520868810244,13.319896319264547,13.430937578963785,0.5877708544535574
200,5,1,200,200,1.0,89.365,86.0,52.0866284116805,13.38095970263983,13.50149082707556,0.4667564614414016
200,5,2,200,200,1.0,90.45,90.5,46.15799282364364,13.366543365247217,13.490034099272009,0.5087823525471037
200,10,0,200,200,1.0,96.13,95.5,50.72353977629308,13.314381150636532,13.450279514832003,0.5871008105059221
200,10,1,200,200,1.0,89.68,86.0,51.5946473792675,13.387063319079683,13.499632235638975,0.42540802675676415
200,10,2,200,200,1.0,90.575,90.5,46.18995491092589,13.369090227479496,13.463076501845494,0.49887093696975293
200,20,0,200,200,1.0,96.565,96.0,50.80730939975282,13.31624648307134,13.459981729720734,0.59945900072431
200,20,1,200,200,1.0,90.715,86.0,52.863375386806624,13.394928005267,13.52587023464121,0.4529948126261111
200,20,2,200,200,1.0,90.275,91.0,46.283910561710556,13.370484333135693,13.454186650853401,0.49911615358105216
200,50,0,200,200,1.0,98.28,97.5,51.994410213669475,13.32919604190976,13.473980690064398,0.5806751137975513
200,50,1,200,200,1.0,93.34,87.0,55.0532350862993,13.409668909202123,13.526340366599662,0.43765618085037755
200,50,2,200,200,1.0,91.86,91.5,46.538581821859914,13.363479964628969,13.463404390429606,0.5151645886956526
200,100,0,200,200,1.0,100.7,100.5,52.70435222748301,13.322423098230995,13.449201035466672,0.5942397751181212
200,100,1,200,200,1.0,94.815,88.5,55.85705711139577,13.407973289844797,13.52935762103536,0.43689509257863074
200,100,2,200,200,1.0,95.98,95.0,50.6573829985453,13.415403251264143,13.508986541120603,0.5051451354857835
200,200,0,200,200,1.0,98.845,99.5,52.80961324660768,13.371118195056416,13.517928707854784,0.5882925817423628
200,200,1,200,200,1.0,95.37,87.0,56.3077785891811,13.403025895352755,13.51861361049232,0.45845799303268553
200,200,2,200,200,1.0,95.42,93.0,49.44570749771661,13.424316183202976,13.534189966209286,0.5017529344762153
200,500,0,200,200,1.0,95.575,94.5,49.62679182998517,13.329552054787088,13.473911395727598,0.5895684268009287
200,500,1,200,200,1.0,90.91,87.0,53.0361770907558,13.39428637627267,13.519186099835558,0.44201843720548184
200,500,2,200,200,1.0,93.94,93.0,49.317415151099816,13.39000873348188,13.467980936525105,0.49728453455733457
500,0,0,500,500,1.0,96.858,94.5,50.46804814699628,12.91033836135546,12.9943853714313,0.601750565101189
500,0,1,500,500,1.0,92.14,87.5,52.11049229103125,12.946602048774588,13.019337297829729,0.525417786312622
500,0,2,500,500,1.0,91.952,91.0,47.50379898319366,12.955684587358546,13.024644893235656,0.594622834765954
500,5,0,500,500,1.0,98.084,96.5,51.017236900109005,12.892497265257603,12.977518340538474,0.6218047728644439
500,5,1,500,500,1.0,92.696,88.0,52.41524874119365,12.94234758879522,13.01834705392616,0.5405984074650172
